,scenario,version,modified function,value,input,time,# loops,time in ms
0,branching,sequential,check relation,2,1,23.7001683562994,1,23.7001683562994
1,branching,sequential,check relation,2,1,18.70916783809662,1,18.70916783809662
2,branching,sequential,check relation,2,1,18.41803640127182,1,18.41803640127182
3,branching,sequential,check relation,2,1,18.289338797330856,1,18.289338797330856
4,branching,sequential,check relation,2,1,18.271373584866524,1,18.271373584866524
5,branching,sequential,check relation,2,1,20.117808133363724,1,20.117808133363724
6,branching,sequential,check relation,2,1,20.62186785042286,1,20.62186785042286
7,branching,sequential,check relation,2,1,20.95983549952507,1,20.95983549952507
8,branching,sequential,check relation,2,1,20.627854391932487,1,20.627854391932487
9,branching,sequential,check relation,2,1,20.69263905286789,1,20.69263905286789
10,branching,sequential,check relation,2,1,20.726308226585388,1,20.726308226585388
11,branching,sequential,check relation,2,1,19.746197387576103,1,19.746197387576103
12,branching,sequential,check relation,2,1,18.38442124426365,1,18.38442124426365
13,branching,sequential,check relation,2,1,18.29891838133335,1,18.29891838133335
14,branching,sequential,check relation,2,1,18.282892182469368,1,18.282892182469368
15,branching,sequential,check relation,2,1,18.28717067837715,1,18.28717067837715
16,branching,sequential,check relation,2,1,18.28130707144737,1,18.28130707144737
17,branching,sequential,check relation,2,1,18.41574721038341,1,18.41574721038341
18,branching,sequential,check relation,2,1,18.618907779455185,1,18.618907779455185
19,branching,sequential,check relation,2,1,18.301432952284813,1,18.301432952284813
20,branching,sequential,check relation,2,1,18.29160749912262,1,18.29160749912262
21,branching,sequential,check relation,2,1,18.41392368078232,1,18.41392368078232
22,branching,sequential,check relation,2,1,18.28671805560589,1,18.28671805560589
23,branching,sequential,check relation,2,1,18.30668374896049,1,18.30668374896049
24,branching,sequential,check relation,2,1,18.38461123406887,1,18.38461123406887
25,branching,sequential,check relation,2,1,18.626932054758072,1,18.626932054758072
26,branching,sequential,check relation,2,1,18.355228006839752,1,18.355228006839752
27,branching,sequential,check relation,2,1,18.3415524661541,1,18.3415524661541
28,branching,sequential,check relation,2,1,18.40960420668125,1,18.40960420668125
29,branching,sequential,check relation,2,1,18.261712044477463,1,18.261712044477463
30,branching,sequential,check relation,2,10,183.18426609039307,10,183.18426609039307
31,branching,sequential,check relation,2,10,182.9484086483717,10,182.9484086483717
32,branching,sequential,check relation,2,10,185.72081811726093,10,185.72081811726093
33,branching,sequential,check relation,2,10,183.1095479428768,10,183.1095479428768
34,branching,sequential,check relation,2,10,183.47394838929176,10,183.47394838929176
35,branching,sequential,check relation,2,10,183.10078606009483,10,183.10078606009483
36,branching,sequential,check relation,2,10,183.424174785614,10,183.424174785614
37,branching,sequential,check relation,2,10,169.04331929981709,10,169.04331929981709
38,branching,sequential,check relation,2,10,154.83831986784935,10,154.83831986784935
39,branching,sequential,check relation,2,10,154.02285009622574,10,154.02285009622574
40,branching,sequential,check relation,2,10,154.60562333464622,10,154.60562333464622
41,branching,sequential,check relation,2,10,154.45176139473915,10,154.45176139473915
42,branching,sequential,check relation,2,10,154.2782075703144,10,154.2782075703144
43,branching,sequential,check relation,2,10,154.23763915896416,10,154.23763915896416
44,branching,sequential,check relation,2,10,155.90961650013924,10,155.90961650013924
45,branching,sequential,check relation,2,10,154.74294871091843,10,154.74294871091843
46,branching,sequential,check relation,2,10,154.86962907016277,10,154.86962907016277
47,branching,sequential,check relation,2,10,155.17408028244972,10,155.17408028244972
48,branching,sequential,check relation,2,10,154.6028759330511,10,154.6028759330511
49,branching,sequential,check relation,2,10,155.52006103098392,10,155.52006103098392
50,branching,sequential,check relation,2,10,154.92084063589573,10,154.92084063589573
51,branching,sequential,check relation,2,10,156.1986804008484,10,156.1986804008484
52,branching,sequential,check relation,2,10,154.457850381732,10,154.457850381732
53,branching,sequential,check relation,2,10,154.63428013026714,10,154.63428013026714
54,branching,sequential,check relation,2,10,154.34926934540272,10,154.34926934540272
55,branching,sequential,check relation,2,10,154.45022098720074,10,154.45022098720074
56,branching,sequential,check relation,2,10,154.2816087603569,10,154.2816087603569
