,scenario,version,library,input,time,# independent functions,time in ms
0,natPar32,sequential,lists,10,846.2447505444288,32,846.2447505444288
1,natPar32,sequential,lists,10,592.8943958133459,32,592.8943958133459
2,natPar32,sequential,lists,10,592.7840415388346,32,592.7840415388346
3,natPar32,sequential,lists,10,577.1754588931799,32,577.1754588931799
4,natPar32,sequential,lists,10,497.9422874748707,32,497.9422874748707
5,natPar32,sequential,lists,10,497.5952636450529,32,497.5952636450529
6,natPar32,sequential,lists,10,497.118866071105,32,497.118866071105
7,natPar32,sequential,lists,10,498.8703094422817,32,498.8703094422817
8,natPar32,sequential,lists,10,499.60130266845226,32,499.60130266845226
9,natPar32,sequential,lists,10,499.7549504041672,32,499.7549504041672
10,natPar32,sequential,lists,10,498.5107313841581,32,498.5107313841581
11,natPar32,sequential,lists,10,498.8525416702032,32,498.8525416702032
12,natPar32,sequential,lists,10,498.5536430031061,32,498.5536430031061
13,natPar32,sequential,lists,10,498.467406257987,32,498.467406257987
14,natPar32,sequential,lists,10,500.6902869790793,32,500.6902869790793
15,natPar32,sequential,lists,10,499.3842989206314,32,499.3842989206314
16,natPar32,sequential,lists,10,498.41238372027874,32,498.41238372027874
17,natPar32,sequential,lists,10,547.2460445016623,32,547.2460445016623
18,natPar32,sequential,lists,10,498.1347527354956,32,498.1347527354956
19,natPar32,sequential,lists,10,498.4161164611578,32,498.4161164611578
20,natPar32,sequential,lists,10,498.4277952462435,32,498.4277952462435
21,natPar32,sequential,lists,10,497.9244004935026,32,497.9244004935026
22,natPar32,sequential,lists,10,501.728005707264,32,501.728005707264
23,natPar32,sequential,lists,10,498.3283542096615,32,498.3283542096615
24,natPar32,sequential,lists,10,497.7957271039486,32,497.7957271039486
25,natPar32,sequential,lists,10,498.6077882349491,32,498.6077882349491
26,natPar32,sequential,lists,10,498.3469694852829,32,498.3469694852829
27,natPar32,sequential,lists,10,498.1957096606493,32,498.1957096606493
28,natPar32,sequential,lists,10,498.4529316425324,32,498.4529316425324
29,natPar32,sequential,lists,10,498.0023708194494,32,498.0023708194494
30,natPar32,sequential,list_sum,10,682.6685555279255,32,682.6685555279255
31,natPar32,sequential,list_sum,10,584.3183025717735,32,584.3183025717735
32,natPar32,sequential,list_sum,10,556.4624648541212,32,556.4624648541212
33,natPar32,sequential,list_sum,10,491.49600602686405,32,491.49600602686405
34,natPar32,sequential,list_sum,10,491.230133920908,32,491.230133920908
35,natPar32,sequential,list_sum,10,491.5073681622744,32,491.5073681622744
36,natPar32,sequential,list_sum,10,491.803053766489,32,491.803053766489
37,natPar32,sequential,list_sum,10,540.8892687410116,32,540.8892687410116
38,natPar32,sequential,list_sum,10,491.50450527668,32,491.50450527668
39,natPar32,sequential,list_sum,10,491.4700333029032,32,491.4700333029032
40,natPar32,sequential,list_sum,10,491.76255241036415,32,491.76255241036415
41,natPar32,sequential,list_sum,10,491.3971200585365,32,491.3971200585365
42,natPar32,sequential,list_sum,10,491.3596697151661,32,491.3596697151661
43,natPar32,sequential,list_sum,10,491.4559908211231,32,491.4559908211231
44,natPar32,sequential,list_sum,10,492.2915399074554,32,492.2915399074554
45,natPar32,sequential,list_sum,10,491.59953743219376,32,491.59953743219376
46,natPar32,sequential,list_sum,10,490.99076166749,32,490.99076166749
47,natPar32,sequential,list_sum,10,491.8704703450203,32,491.8704703450203
48,natPar32,sequential,list_sum,10,492.4251493066549,32,492.4251493066549
49,natPar32,sequential,list_sum,10,492.0371789485216,32,492.0371789485216
50,natPar32,sequential,list_sum,10,491.91899225115776,32,491.91899225115776
51,natPar32,sequential,list_sum,10,491.8693117797375,32,491.8693117797375
52,natPar32,sequential,list_sum,10,491.9783715158701,32,491.9783715158701
